0;0
1;1
1;2
1;3
1;4
1;5
1;6
2;1
2;2
2;3
2;4
2;5
2;6
3;1
3;2
3;3
3;4
3;5
3;6
4;1
4;2
4;3
4;4
4;5
4;6
5;1
5;2
5;3
5;4
5;5
5;6
6;1
6;2
6;3
6;4
6;5
6;6
7;7
7;8
7;9
8;10
8;11
8;12
9;13
9;14
9;15
10;13
10;14
10;15
11;13
11;14
11;15
12;16
12;17
12;18
12;19
12;20
12;21
13;16
13;17
13;18
13;19
13;20
13;21
14;13
14;14
14;15
15;22
15;23
15;24
15;25
16;22
16;23
16;24
16;25
17;22
17;23
17;24
17;25
18;26
18;27
18;28
18;29
18;30
18;31
19;26
19;27
19;28
19;29
19;30
19;31
20;22
20;23
20;24
20;25
21;32
21;33
22;34
23;35
23;36
23;37
24;35
24;36
24;37
25;37
26;38
26;39
26;40
27;0
