CALCULATE_ANGLE_HOUR_HAND_MINUTE_HAND	0	0	0|1|2
CHECK_EXIST_TWO_ELEMENTS_ARRAY_WHOSE_SUM_EQUAL_SUM_REST_ARRAY	0	0	0|1|3
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1	0	0	0|2|5|6|8
CHOCOLATE_DISTRIBUTION_PROBLEM	0	0	0|1|2|3|4|5|6|7|11|13|15|16|18|20|21|22|23|26|27
COST_BALANCE_PARANTHESES	0	0	0|1
COUNT_DISTINCT_NON_NEGATIVE_PAIRS_X_Y_SATISFY_INEQUALITY_XX_YY_N_2_1	0	0	0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20
COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY	0	1	0
COUNT_PALINDROME_SUB_STRINGS_STRING	0	0	0|2|4|6|11|17|19|20|23|26|27|28|29|31|32|35|36|37|38|41|42|43|50|51|64|66|67|68|69|70|71|80|81|82|87|88|93|94|97|98|99|100|101|102|105|106|114|115|116|117|120|121|122|123|128|129|137|138|139|140|141|142|152|153|154|155|160|161|168|169|174|175|176|184|185|189|190|191|197|198|201|208|209|210|211|216|218|219|220|221|227|228|231|232|235|245|246|248|249|253|254|257|258|259|260|261|262|272|281|282|283|284|285|286|289|290|291|292|293|294|295|297|298|302|303|310|311|312|315|316|317|318|321|322|327|328|329|330|335|346|347|348|349|350|351|352|353|354|355|358|359|365|366|381|382|384|385|391|392|397|407|408|415|416|418|419|423|424|434|435|442|443|453|454|462|469|470|471|472|475|476|487|488|489|490|493|494|497|498|502|503|504|505|506|507|510|511|512|513|514|515|516|517|520|521|525|526|529|530|531|532|535|536|537|538|539|540|541|542|543|544|545|546|547|548|551|557|558|561|562|563|564|569|570|572|573|586|587|593|594|599|617|618|626|627|634|635|640|641|646|647|651|652
FIND_THE_MISSING_NUMBER_1	0	0	2|3
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY_1	0	0	0|1
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY	0	0	0|1|2|5|10|14|15|17|21|24|25|31
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_2	0	0	0|1|2
MINIMIZE_THE_MAXIMUM_DIFFERENCE_BETWEEN_THE_HEIGHTS	0	0	0|1|4|5|8|9|10|11|12|16
MINIMUM_PRODUCT_SUBSET_ARRAY	0	0	0|2|3|4|8|9|12|14|18|19|22|24|26|33|37|39|41|44|47|48|50|53|60|61
NUMBER_JUMP_REQUIRED_GIVEN_LENGTH_REACH_POINT_FORM_D_0_ORIGIN_2D_PLANE	0	0	0
PROGRAM_BINARY_DECIMAL_CONVERSION_1	0	0	0|1|2|3|5|6
PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_1	0	0	0|1|2
SUM_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING	0	0	0|1|2|3|4|5|6|7|11|13|14|16|17|18|19|20|21|22|23|24|25|26|27|28
