0;0
1;1
1;2
1;3
2;3
3;4
3;5
4;4
4;5
5;6
5;7
5;8
6;9
7;10
7;11
7;12
7;13
8;10
8;11
8;12
8;13
9;14
9;15
9;16
9;17
10;14
10;15
10;16
10;17
11;14
11;15
11;16
11;17
12;18
13;19
14;20
14;21
14;22
14;23
15;20
15;21
15;22
15;23
16;20
16;21
16;22
16;23
17;19
18;24
18;25
18;26
18;27
18;28
18;29
19;24
19;25
19;26
19;27
19;28
19;29
20;24
20;25
20;26
20;27
20;28
20;29
21;30
22;31
22;32
22;33
22;34
23;31
23;32
23;33
23;34
24;31
24;32
24;33
24;34
25;35
26;36
26;37
26;38
26;39
26;40
27;36
27;37
27;38
27;39
27;40
28;36
28;37
28;38
28;39
28;40
29;36
29;37
29;38
29;39
29;40
30;41
30;42
30;43
31;43
31;44
